epoch,FroSSL,BYOL,SimCLR,DCL,MoCo,NNCLR,BarlowTwins,SimSiam
1,31.8000,35.9300,42.5300,33.3800,32.8700,35.8100,27.3900,34.6100
2,34.6800,37.8800,44.5100,38.1400,33.2700,38.8000,28.2000,35.8900
3,36.6000,38.7300,47.4000,41.4300,35.6900,42.0300,28.4400,36.6000
4,40.1300,39.6400,50.6600,42.8400,39.2800,43.1400,27.9100,36.5100
5,41.5300,40.6300,52.9500,45.2100,41.4000,45.2400,27.7900,36.6400
6,42.3700,42.3600,54.5200,47.2300,43.1200,48.0300,28.7800,37.8600
7,44.6600,44.4100,56.4400,49.3800,44.9300,50.0600,30.6400,38.9600
8,46.3800,45.8300,57.5300,52.8600,47.1400,52.0200,31.0600,39.6600
9,49.8500,46.5500,58.5500,55.1300,48.5300,53.1400,33.2000,40.8200
10,52.0400,47.5300,60.6100,57.3000,49.5900,53.7900,35.9000,40.9300
11,53.9800,48.7600,61.1600,58.6500,51.0900,55.1700,37.5300,40.5100
12,56.4100,43.9500,61.6400,60.9100,52.4700,55.1900,39.5000,38.9100
13,58.0500,50.6000,63.4300,62.5200,53.6200,56.6600,41.1500,39.7500
14,60.4100,51.1700,63.1400,62.9100,55.0800,57.6800,44.2200,43.7500
15,61.9900,53.1300,64.7200,64.5400,55.5400,58.7800,46.1900,43.8100
16,62.8800,54.1800,64.6800,64.5000,56.1400,59.5500,47.3300,44.6300
17,64.2200,54.2100,64.6500,64.0200,58.1600,59.2500,48.2200,46.1200
18,64.5600,56.0400,66.4400,65.3400,58.8900,60.0400,49.0500,47.2800
19,66.1500,57.0800,65.4800,65.7500,60.2900,61.9800,50.4600,48.5500
20,65.8500,57.3500,67.3500,67.7300,60.8800,61.5700,51.1600,49.8500
21,66.5700,59.1000,66.6600,66.1700,61.6600,61.8300,52.4000,50.1900
22,67.1500,59.9400,67.0800,68.4900,62.2600,61.3100,52.2600,51.8900
23,68.5400,60.8400,67.6000,68.3800,62.6900,63.6800,53.6400,52.3600
24,68.2700,61.9200,67.3400,68.7400,62.5500,62.0900,54.9200,53.0900
25,68.8100,63.4400,68.3800,68.7800,64.0300,62.7800,55.0100,55.4200
26,70.1300,63.7700,68.5400,67.2700,65.0500,64.6900,57.3300,56.7900
27,70.4700,63.5800,68.0300,69.0600,65.3500,63.4400,57.8000,57.3600
28,70.4700,64.7300,69.6700,69.5500,65.5400,63.7700,59.0200,58.5000
29,70.6000,65.0700,70.7000,69.7000,66.7900,64.3900,60.2800,59.6300
30,71.0800,66.1900,69.5100,70.0100,66.4700,64.7600,60.4700,59.1000
31,70.7700,66.3900,68.5600,70.1800,67.1900,65.8500,61.5500,60.4400
32,71.9100,66.7200,69.0200,69.3100,67.7600,64.7400,62.0700,61.3800
33,72.0300,68.1800,70.0700,70.4200,68.6300,65.0900,62.6800,62.1600
34,72.5900,68.4700,70.3800,69.7800,69.0900,65.3600,64.4400,60.9100
35,71.7900,69.1100,70.0200,69.3900,68.5900,65.2500,63.7200,61.7300
36,72.5400,70.0300,70.5400,70.5600,68.6200,66.3200,64.8800,62.5000
37,73.2400,70.2000,70.6900,70.7700,69.5600,66.6200,64.8400,62.8300
38,73.5100,71.1000,70.5700,70.7700,69.9700,66.9600,66.0600,64.0100
39,72.7200,70.5800,72.0200,71.7700,70.1200,66.0200,65.9500,63.2600
40,72.8800,70.9300,70.3800,71.5900,70.3100,65.9000,65.8900,63.3500
41,73.4900,70.9400,72.0800,72.2000,70.9100,66.5400,67.4800,63.7000
42,74.2100,71.9600,71.2100,71.5600,70.8000,67.7200,67.5500,63.5700
43,73.7200,71.4400,70.8500,72.0200,70.7000,67.9800,68.0100,64.6500
44,75.1400,72.1100,70.7200,72.3000,71.4100,66.5300,67.4700,64.3600
45,74.2200,72.2300,72.6000,72.6400,71.1600,66.7000,68.0700,64.6500
46,74.5400,73.1800,71.1400,72.7000,71.2700,68.2900,68.5600,64.4600
47,75.4900,73.0300,72.2000,72.1100,71.7200,67.9300,67.5500,63.8700
48,75.3900,73.7000,72.4200,72.7600,71.5300,68.7700,68.9300,65.0000
49,74.7700,73.3500,71.5300,73.2400,71.1300,69.1700,68.2300,64.5400
50,75.4500,73.8100,71.7800,72.5700,72.4900,68.3300,68.9500,63.6700
51,75.6000,74.3600,72.2600,73.1300,72.9400,69.5600,69.0100,64.0300
52,75.5500,74.2800,72.6400,73.4400,71.5000,69.3000,69.7100,64.9100
53,75.2900,74.7700,72.6300,72.8300,72.6500,69.3600,69.3700,60.6300
54,75.7300,74.6000,71.8700,72.8200,73.1200,69.5400,70.1900,64.1400
55,76.1600,75.1000,72.4400,73.6800,73.6200,68.6500,70.3700,64.7700
56,76.7200,74.4200,72.5600,73.5800,73.1900,69.4900,69.8000,64.1400
57,76.4100,75.3500,73.2400,73.4500,73.1700,68.6000,69.4100,64.8500
58,76.6500,74.6600,72.7400,74.1800,73.4300,68.6600,69.8900,64.7900
59,76.5500,75.1000,72.5300,73.7400,73.6800,69.8600,70.5800,65.4000
60,75.6800,75.6900,73.3100,73.5900,73.0800,69.6200,71.6800,62.9200
61,77.6600,76.2300,72.5200,73.4900,73.8300,70.6100,70.9600,63.9700
62,76.7500,75.4100,73.1000,73.7200,73.5100,69.3800,70.5800,64.2900
63,76.3000,75.7300,73.2100,74.0900,73.7400,69.7900,71.2100,65.7900
64,76.8600,75.9400,73.6900,74.3200,74.0000,69.9400,71.1000,65.8000
65,78.0000,76.5300,73.5200,73.8300,73.5900,69.2200,71.3500,65.5600
66,77.3400,76.0700,73.5300,75.1400,74.7400,70.6900,72.2700,65.1800
67,77.7500,76.3500,72.9900,73.7700,74.5400,69.7800,71.9200,66.6000
68,76.9000,76.8200,72.9800,74.1900,75.1400,70.2800,72.6600,66.5100
69,77.4900,76.4600,73.8200,74.6900,74.7900,70.3400,72.7800,66.7500
70,77.8900,77.4000,73.2800,74.8200,74.7000,70.3200,73.2700,66.7700
71,77.0600,77.0100,73.8300,75.0000,74.8700,70.8900,71.6000,66.3700
